agent_id,from_origin_node_id,to_destination_node_id,departure_time_interval_no,PCE
156,133,226,88.0,1
157,131,224,4621.0,1
158,132,96,9101.0,1
159,389,352,92.0,1
160,3,96,4609.0,1
161,390,480,9099.0,1
162,519,483,81.0,1
163,5,96,4627.0,1
164,519,610,9129.0,1
165,261,352,99.0,1
166,518,689,4652.0,1
167,261,352,9121.0,1
168,134,224,100.0,1
169,133,224,4642.0,1
170,5,96,9115.0,1
171,519,690,100.0,1
172,519,610,4642.0,1
173,389,481,9123.0,1
174,518,610,94.0,1
175,3,96,4638.0,1
176,261,352,9145.0,1
177,133,353,108.0,1
178,517,352,4659.0,1
179,390,610,9132.0,1
180,5,96,107.0,1
181,517,610,4672.0,1
182,133,224,9156.0,1
183,261,353,106.0,1
184,261,352,4640.0,1
185,262,224,9156.0,1
186,650,224,173.0,1
187,133,224,4666.0,1
188,5,96,9147.0,1
189,390,480,110.0,1
190,130,224,4698.0,1
191,390,224,9162.0,1
192,519,609,110.0,1
193,519,481,4688.0,1
194,519,610,9169.0,1
195,5,96,116.0,1
196,4,224,4674.0,1
197,519,690,9180.0,1
198,133,224,117.0,1
199,258,352,4650.0,1
200,5,96,9169.0,1
201,519,609,117.0,1
202,261,352,4672.0,1
203,389,610,9201.0,1
204,261,481,123.0,1
205,131,224,4690.0,1
206,389,610,9208.0,1
207,5,96,120.0,1
208,261,352,4683.0,1
209,5,96,9187.0,1
210,134,352,126.0,1
211,2,96,4700.0,1
212,5,96,9197.0,1
213,261,353,130.0,1
214,388,481,4694.0,1
215,519,610,9207.0,1
216,650,353,184.0,1
217,516,610,4705.0,1
218,390,224,9188.0,1
219,389,610,123.0,1
220,261,353,4696.0,1
221,390,481,9228.0,1
222,133,224,134.0,1
223,132,224,4699.0,1
224,5,96,9208.0,1
225,5,96,126.0,1
226,515,610,4710.0,1
227,261,352,9204.0,1
228,519,610,125.0,1
229,387,480,4699.0,1
230,519,481,9219.0,1
231,389,352,131.0,1
232,261,352,4699.0,1
233,133,224,9203.0,1
234,261,481,140.0,1
235,131,224,4706.0,1
236,389,481,9240.0,1
237,133,224,141.0,1
238,389,610,4719.0,1
239,5,96,9225.0,1
240,650,610,207.0,1
241,4,96,4731.0,1
242,133,224,9215.0,1
243,519,610,129.0,1
244,518,610,4738.0,1
245,261,353,9224.0,1
246,5,481,140.0,1
247,3,96,4735.0,1
248,519,481,9265.0,1
249,5,96,147.0,1
250,386,610,4721.0,1
251,519,610,9239.0,1
252,389,610,140.0,1
253,5,96,4753.0,1
254,133,224,9227.0,1
255,133,224,150.0,1
256,259,352,4719.0,1
257,261,352,9231.0,1
258,5,96,158.0,1
259,518,609,4755.0,1
260,132,224,9230.0,1
261,519,610,161.0,1
262,130,610,4729.0,1
263,518,610,9250.0,1
264,519,481,137.0,1
265,259,224,4729.0,1
266,5,96,9252.0,1
267,390,224,149.0,1
268,260,224,4743.0,1
269,261,352,9241.0,1
270,261,352,150.0,1
271,518,610,4778.0,1
272,133,224,9242.0,1
273,390,480,153.0,1
274,133,224,4754.0,1
275,519,480,9278.0,1
276,389,610,159.0,1
277,261,352,4760.0,1
278,650,610,9352.0,1
279,133,353,162.0,1
280,389,610,4755.0,1
281,2,225,9309.0,1
282,5,96,168.0,1
283,517,610,4788.0,1
284,133,224,9251.0,1
285,263,352,163.0,1
286,387,481,4758.0,1
287,5,96,9272.0,1
288,133,224,172.0,1
289,519,610,4801.0,1
290,133,224,9260.0,1
291,5,96,174.0,1
292,133,224,4765.0,1
293,261,352,9264.0,1
294,519,690,184.0,1
295,262,352,4789.0,1
296,389,610,9275.0,1
297,519,609,192.0,1
298,133,96,4770.0,1
299,650,352,9362.0,1
300,390,481,169.0,1
301,389,480,4778.0,1
302,261,352,9271.0,1
303,133,224,180.0,1
304,4,96,4786.0,1
305,133,224,9275.0,1
306,261,352,172.0,1
307,133,224,4781.0,1
308,519,610,9302.0,1
309,519,609,200.0,1
310,389,481,4793.0,1
311,5,96,9289.0,1
312,5,96,181.0,1
313,389,610,4801.0,1
314,133,224,9282.0,1
315,133,224,189.0,1
316,2,96,4792.0,1
317,390,481,9300.0,1
318,390,610,185.0,1
319,389,480,4798.0,1
320,519,610,9313.0,1
321,519,610,207.0,1
322,133,224,4796.0,1
323,4,96,9309.0,1
324,262,352,188.0,1
325,518,609,4823.0,1
326,389,480,9317.0,1
327,519,691,214.0,1
328,130,224,4793.0,1
329,389,481,9323.0,1
330,133,224,198.0,1
331,517,690,4836.0,1
332,650,352,9392.0,1
333,5,96,196.0,1
334,133,96,4816.0,1
335,389,690,9332.0,1
336,390,480,197.0,1
337,518,609,4851.0,1
338,519,690,9351.0,1
339,133,224,206.0,1
340,260,481,4838.0,1
341,5,96,9338.0,1
342,5,96,205.0,1
343,650,610,4927.0,1
344,133,353,9313.0,1
345,262,481,194.0,1
346,131,96,4817.0,1
347,519,610,9337.0,1
348,519,690,222.0,1
349,5,96,4826.0,1
350,4,96,9354.0,1
351,133,224,212.0,1
352,259,224,4843.0,1
353,261,352,9344.0,1
354,519,610,226.0,1
355,650,610,4938.0,1
356,259,352,9346.0,1
357,390,480,209.0,1
358,3,224,4842.0,1
359,650,610,9438.0,1
360,261,352,206.0,1
361,389,352,4878.0,1
362,5,96,213.0,1
363,518,610,4867.0,1
364,133,224,222.0,1
365,131,224,4842.0,1
366,5,96,9364.0,1
367,389,609,231.0,1
368,519,690,4881.0,1
369,133,224,9330.0,1
370,262,352,219.0,1
371,3,96,4861.0,1
372,262,352,9361.0,1
373,134,96,231.0,1
374,389,353,4888.0,1
375,519,610,9376.0,1
376,133,224,238.0,1
377,650,352,4968.0,1
378,519,610,9388.0,1
379,390,480,242.0,1
380,3,224,4917.0,1
381,261,352,9371.0,1
382,519,610,233.0,1
383,389,352,4895.0,1
384,3,96,9384.0,1
385,261,352,228.0,1
386,131,224,4870.0,1
387,133,224,9338.0,1
388,133,224,245.0,1
389,2,96,4882.0,1
390,133,224,9348.0,1
391,262,481,233.0,1
392,261,224,4907.0,1
393,261,352,9388.0,1
394,390,609,249.0,1
395,388,480,4912.0,1
396,519,610,9403.0,1
397,519,610,238.0,1
398,518,610,4897.0,1
399,519,610,9410.0,1
400,5,96,232.0,1
401,132,224,4900.0,1
402,5,96,9407.0,1
403,262,480,245.0,1
404,519,610,4913.0,1
405,133,224,9356.0,1
406,519,610,247.0,1
407,5,224,4914.0,1
408,133,96,9378.0,1
409,5,96,240.0,1
410,259,353,4913.0,1
411,262,352,9402.0,1
412,262,353,255.0,1
413,389,481,4933.0,1
414,519,610,9422.0,1
415,5,96,253.0,1
416,4,96,4917.0,1
417,389,480,9423.0,1
418,390,481,265.0,1
419,133,224,4922.0,1
420,261,353,9408.0,1
421,133,224,257.0,1
422,388,480,4940.0,1
423,650,481,9502.0,1
424,519,609,253.0,1
425,519,610,4920.0,1
426,390,480,9434.0,1
427,134,224,270.0,1
428,650,610,5006.0,1
429,262,481,9418.0,1
430,389,480,274.0,1
431,519,480,4930.0,1
432,133,224,9389.0,1
433,390,224,281.0,1
434,261,352,4936.0,1
435,519,609,259.0,1
436,519,689,4948.0,1
437,5,96,265.0,1
438,133,224,4936.0,1
439,519,610,267.0,1
440,258,353,4931.0,1
441,5,96,9420.0,1
442,133,353,277.0,1
443,390,480,4965.0,1
444,519,610,9435.0,1
445,262,481,273.0,1
446,519,690,4956.0,1
447,261,352,9437.0,1
448,5,96,273.0,1
449,650,610,5028.0,1
450,133,224,9409.0,1
451,5,96,281.0,1
452,5,96,4956.0,1
453,389,480,9448.0,1
454,5,96,286.0,1
455,261,352,4960.0,1
456,390,610,9458.0,1
457,133,224,285.0,1
458,650,610,5037.0,1
459,650,611,9544.0,1
460,390,480,300.0,1
461,389,353,4982.0,1
462,260,352,9454.0,1
463,519,609,285.0,1
464,519,610,4969.0,1
465,133,224,9419.0,1
466,262,352,286.0,1
467,5,96,4967.0,1
468,390,480,9467.0,1
469,519,481,291.0,1
470,5,96,4979.0,1
471,5,96,9453.0,1
472,133,353,291.0,1
473,133,224,4978.0,1
474,519,689,9485.0,1
475,519,609,300.0,1
476,389,481,4995.0,1
477,519,610,9472.0,1
478,519,690,313.0,1
479,517,610,4978.0,1
480,133,224,9426.0,1
481,389,481,305.0,1
482,261,353,4986.0,1
483,389,480,9484.0,1
484,261,352,295.0,1
485,133,224,4987.0,1
486,261,352,9472.0,1
487,262,352,305.0,1
488,388,610,4999.0,1
489,5,96,9463.0,1
490,5,97,298.0,1
491,518,610,5025.0,1
492,261,352,9497.0,1
493,133,224,299.0,1
494,132,224,5019.0,1
495,390,610,9518.0,1
496,389,610,314.0,1
497,131,224,5029.0,1
498,262,352,9506.0,1
499,518,610,327.0,1
500,3,96,5024.0,1
501,519,610,9531.0,1
502,519,690,333.0,1
503,389,480,5038.0,1
504,390,480,9539.0,1
505,5,96,304.0,1
506,261,352,5039.0,1
507,133,225,9474.0,1
508,133,224,307.0,1
509,519,610,5047.0,1
510,261,352,9514.0,1
511,5,96,310.0,1
512,5,96,5050.0,1
513,519,609,9542.0,1
514,650,610,390.0,1
515,261,352,5044.0,1
516,389,480,9546.0,1
517,390,610,325.0,1
518,389,610,5044.0,1
519,133,224,9485.0,1
520,390,610,341.0,1
521,133,224,5055.0,1
522,261,352,9538.0,1
523,519,609,352.0,1
524,5,96,5057.0,1
525,519,610,9561.0,1
526,133,224,317.0,1
527,389,481,5059.0,1
528,262,352,9546.0,1
529,261,353,321.0,1
530,262,352,5064.0,1
531,519,690,9604.0,1
532,650,610,398.0,1
533,650,610,5129.0,1
534,261,352,9552.0,1
535,133,353,322.0,1
536,133,224,5074.0,1
537,390,610,9580.0,1
538,5,96,322.0,1
539,389,481,5066.0,1
540,519,610,9569.0,1
541,389,610,352.0,1
542,390,610,5073.0,1
543,133,224,9502.0,1
544,261,352,326.0,1
545,5,96,5076.0,1
546,390,481,9588.0,1
547,5,96,329.0,1
548,133,224,5081.0,1
549,261,352,9571.0,1
550,133,353,331.0,1
551,389,480,5082.0,1
552,261,352,9582.0,1
553,390,352,331.0,1
554,133,224,5088.0,1
555,389,610,9596.0,1
556,519,609,360.0,1
557,261,352,5080.0,1
558,519,609,9580.0,1
559,261,481,344.0,1
560,133,224,5095.0,1
561,133,224,9510.0,1
562,650,480,415.0,1
563,389,481,5090.0,1
564,5,96,9540.0,1
565,650,609,421.0,1
566,519,610,5095.0,1
567,5,96,9550.0,1
568,133,353,338.0,1
569,261,352,5090.0,1
570,390,352,9606.0,1
571,262,353,338.0,1
572,5,96,5114.0,1
573,648,610,9683.0,1
574,519,609,370.0,1
575,133,224,5111.0,1
576,261,352,9611.0,1
577,389,481,370.0,1
578,519,610,5112.0,1
579,519,690,9706.0,1
580,5,96,340.0,1
581,261,481,5123.0,1
582,133,224,9527.0,1
583,519,480,374.0,1
584,5,96,5123.0,1
585,390,610,9629.0,1
586,261,352,350.0,1
587,133,224,5120.0,1
588,519,610,9616.0,1
589,261,352,358.0,1
590,5,96,5132.0,1
591,133,224,9537.0,1
592,133,96,354.0,1
593,260,224,5129.0,1
594,4,96,9579.0,1
595,390,610,389.0,1
596,390,610,5119.0,1
597,261,481,9626.0,1
598,133,224,358.0,1
599,5,96,5136.0,1
600,390,611,9641.0,1
601,650,610,439.0,1
602,261,352,5141.0,1
603,518,610,9623.0,1
604,519,610,387.0,1
605,5,96,5147.0,1
606,519,352,9641.0,1
607,650,481,454.0,1
608,133,224,5150.0,1
609,5,96,9611.0,1
610,262,353,367.0,1
611,261,352,5152.0,1
612,390,352,9651.0,1
613,133,224,367.0,1
614,262,224,5159.0,1
615,650,610,9807.0,1
616,519,690,394.0,1
617,5,96,5164.0,1
618,133,224,9571.0,1
619,390,481,396.0,1
620,132,224,5154.0,1
621,262,352,9667.0,1
622,262,481,375.0,1
623,389,480,5160.0,1
624,519,690,9748.0,1
625,519,610,407.0,1
626,5,96,5171.0,1
627,133,353,9582.0,1
628,133,224,377.0,1
629,132,352,5165.0,1
630,261,352,9678.0,1
631,650,610,465.0,1
632,261,352,5170.0,1
633,390,224,9665.0,1
634,390,481,410.0,1
635,518,610,5176.0,1
636,261,352,9689.0,1
637,519,610,416.0,1
638,261,353,5177.0,1
639,5,96,9660.0,1
640,650,352,477.0,1
641,4,96,5175.0,1
642,390,480,9677.0,1
643,5,96,351.0,1
644,5,96,5183.0,1
645,133,224,9610.0,1
646,133,224,387.0,1
647,133,224,5188.0,1
648,133,224,9621.0,1
649,261,353,386.0,1
650,261,352,5192.0,1
651,5,96,9666.0,1
652,519,481,422.0,1
653,390,610,5192.0,1
654,4,96,9785.0,1
655,519,690,427.0,1
656,519,610,5194.0,1
657,262,352,9699.0,1
658,261,353,393.0,1
659,389,480,5200.0,1
660,389,481,9694.0,1
661,133,224,395.0,1
662,133,224,5197.0,1
663,649,610,9825.0,1
664,518,690,442.0,1
665,261,224,5205.0,1
666,133,224,9663.0,1
667,262,352,403.0,1
668,519,481,5203.0,1
669,261,352,9727.0,1
670,650,609,496.0,1
671,5,96,5200.0,1
672,390,480,9707.0,1
673,133,96,345.0,1
674,519,610,5220.0,1
675,5,96,9688.0,1
676,133,224,403.0,1
677,133,224,5207.0,1
678,133,224,9681.0,1
679,261,481,409.0,1
680,4,96,5205.0,1
681,5,96,9700.0,1
682,519,609,459.0,1
683,261,480,5223.0,1
684,261,352,9742.0,1
685,133,224,413.0,1
686,519,610,5237.0,1
687,519,610,9782.0,1
688,261,610,416.0,1
689,261,224,5235.0,1
690,649,481,9971.0,1
691,390,610,434.0,1
692,390,480,5236.0,1
693,260,352,9745.0,1
694,261,481,422.0,1
695,519,610,5250.0,1
696,390,610,9731.0,1
697,519,690,467.0,1
698,261,481,5241.0,1
699,519,610,9788.0,1
700,518,610,472.0,1
701,133,224,5226.0,1
702,261,352,9765.0,1
703,519,224,452.0,1
704,389,610,5258.0,1
705,390,224,9741.0,1
706,133,225,425.0,1
707,261,352,5253.0,1
708,518,609,9800.0,1
709,5,353,360.0,1
710,390,480,5268.0,1
711,5,96,9728.0,1
712,5,224,367.0,1
713,133,224,5237.0,1
714,650,480,10002.0,1
715,133,225,433.0,1
716,519,610,5270.0,1
717,261,353,9783.0,1
718,390,481,447.0,1
719,390,481,5272.0,1
720,390,481,9750.0,1
721,262,482,430.0,1
722,519,610,5273.0,1
723,5,96,9740.0,1
724,650,610,533.0,1
725,261,352,5264.0,1
726,649,610,9894.0,1
727,261,352,436.0,1
728,389,610,5282.0,1
729,133,224,9722.0,1
730,5,96,374.0,1
731,132,224,5246.0,1
732,261,352,9790.0,1
733,133,224,442.0,1
734,5,96,5234.0,1
735,390,481,9760.0,1
736,650,609,541.0,1
737,519,690,5288.0,1
738,133,224,9733.0,1
739,390,610,454.0,1
740,133,224,5255.0,1
741,389,610,9770.0,1
742,390,353,458.0,1
743,389,224,5300.0,1
744,133,224,9745.0,1
745,133,96,448.0,1
746,260,352,5283.0,1
747,5,96,9788.0,1
748,389,352,466.0,1
749,390,610,5305.0,1
750,389,480,9789.0,1
751,539,609,548.0,1
752,132,224,5270.0,1
753,5,96,9810.0,1
754,5,96,379.0,1
755,260,610,5292.0,1
756,133,224,9794.0,1
757,133,224,456.0,1
758,650,480,5365.0,1
759,519,610,9836.0,1
760,261,353,445.0,1
761,5,96,5250.0,1
762,389,482,9796.0,1
763,5,96,387.0,1
764,389,610,5312.0,1
765,519,610,9851.0,1
766,261,224,461.0,1
767,519,689,5308.0,1
768,132,224,9775.0,1
769,390,480,478.0,1
770,519,689,5323.0,1
771,5,96,9828.0,1
772,133,224,473.0,1
773,133,224,5283.0,1
774,260,352,9858.0,1
775,5,96,395.0,1
776,261,352,5306.0,1
777,133,224,9836.0,1
778,133,224,479.0,1
779,133,224,5291.0,1
780,519,610,9873.0,1
781,519,610,518.0,1
782,650,353,5398.0,1
783,519,691,9905.0,1
784,650,610,571.0,1
785,650,610,5407.0,1
786,390,480,9858.0,1
787,390,610,494.0,1
788,133,224,5296.0,1
789,133,225,9858.0,1
790,261,352,491.0,1
791,389,480,5342.0,1
792,5,96,9876.0,1
793,389,481,504.0,1
794,261,352,5329.0,1
795,133,224,9870.0,1
796,261,352,503.0,1
797,259,480,5333.0,1
798,133,224,492.0,1
799,519,610,5343.0,1
800,518,690,9921.0,1
801,650,481,586.0,1
802,650,480,5416.0,1
803,5,96,9891.0,1
804,5,96,407.0,1
805,133,352,5310.0,1
806,519,610,9889.0,1
807,262,353,511.0,1
808,261,352,5345.0,1
809,133,353,9880.0,1
810,389,610,515.0,1
811,519,609,5352.0,1
812,390,610,9877.0,1
813,133,224,504.0,1
814,133,224,5320.0,1
815,5,96,9907.0,1
816,261,352,525.0,1
817,260,352,5348.0,1
818,519,610,9914.0,1
819,520,610,547.0,1
820,389,610,5360.0,1
821,261,481,9923.0,1
822,133,96,514.0,1
823,6,96,5282.0,1
824,133,224,9892.0,1
825,5,96,415.0,1
826,133,96,5323.0,1
827,519,610,9939.0,1
828,650,353,618.0,1
829,649,610,5430.0,1
830,5,96,9983.0,1
831,133,224,525.0,1
832,133,224,5331.0,1
833,519,690,9993.0,1
834,262,353,541.0,1
835,5,225,5288.0,1
836,5,96,9996.0,1
837,5,96,423.0,1
838,261,352,5369.0,1
839,133,97,9916.0,1
840,389,481,531.0,1
841,650,610,5455.0,1
842,261,352,9990.0,1
843,390,481,539.0,1
844,133,224,5344.0,1
845,519,610,9970.0,1
846,519,690,565.0,1
847,5,96,5298.0,1
848,5,96,10007.0,1
849,262,481,564.0,1
850,261,352,5389.0,1
851,519,610,9979.0,1
852,5,96,431.0,1
853,131,224,5345.0,1
854,262,610,9999.0,1
855,519,610,559.0,1
856,390,610,5404.0,1
857,5,224,10022.0,1
858,133,224,536.0,1
859,132,224,5357.0,1
860,133,224,9976.0,1
861,518,689,572.0,1
862,389,480,5413.0,1
863,519,691,10047.0,1
864,5,96,442.0,1
865,133,224,5365.0,1
866,519,610,10013.0,1
867,390,610,548.0,1
868,5,96,5329.0,1
869,261,352,10016.0,1
870,133,224,548.0,1
871,3,96,5333.0,1
872,132,224,9986.0,1
873,390,611,562.0,1
874,521,610,5429.0,1
875,261,352,10032.0,1
876,519,610,581.0,1
877,518,690,5436.0,1
878,133,224,10010.0,1
879,261,352,575.0,1
880,133,352,5379.0,1
881,133,224,558.0,1
882,5,96,5345.0,1
883,5,96,451.0,1
884,650,610,5506.0,1
885,390,481,9998.0,1
886,389,481,568.0,1
887,261,352,5425.0,1
888,261,352,10049.0,1
889,519,610,589.0,1
890,650,610,5521.0,1
891,133,224,10020.0,1
892,133,224,579.0,1
893,650,610,5512.0,1
894,389,481,10007.0,1
895,262,352,589.0,1
896,261,352,10101.0,1
897,390,480,576.0,1
898,132,224,5399.0,1
899,387,352,10005.0,1
900,5,96,463.0,1
901,390,480,5446.0,1
902,133,224,10035.0,1
903,5,96,477.0,1
904,519,610,5446.0,1
905,390,610,10048.0,1
906,390,480,588.0,1
907,133,352,5397.0,1
908,519,610,10070.0,1
909,133,224,592.0,1
910,519,610,5454.0,1
911,5,97,10084.0,1
912,519,611,600.0,1
913,133,353,5432.0,1
914,650,610,10231.0,1
915,390,481,595.0,1
916,390,481,5462.0,1
917,262,352,10126.0,1
918,262,481,605.0,1
919,518,610,5468.0,1
920,519,352,10089.0,1
921,133,96,599.0,1
922,518,690,5485.0,1
923,389,610,10068.0,1
924,261,610,616.0,1
925,5,96,5375.0,1
926,650,610,10239.0,1
927,133,224,608.0,1
928,650,610,5553.0,1
929,519,610,10126.0,1
930,5,96,490.0,1
931,5,96,5378.0,1
932,5,224,10115.0,1
933,519,610,614.0,1
934,519,480,5498.0,1
935,133,224,10089.0,1
936,392,610,613.0,1
937,133,224,5457.0,1
938,650,610,10256.0,1
939,133,224,617.0,1
940,5,96,5388.0,1
941,519,610,10149.0,1
942,262,352,628.0,1
943,261,352,5454.0,1
944,390,480,10147.0,1
945,390,352,620.0,1
946,390,610,5481.0,1
947,133,224,10105.0,1
948,519,609,623.0,1
949,260,224,5474.0,1
950,389,96,10165.0,1
951,389,352,631.0,1
952,519,610,5511.0,1
953,133,224,10118.0,1
954,5,224,503.0,1
955,261,352,5472.0,1
956,4,96,10154.0,1
957,519,690,630.0,1
958,5,96,5406.0,1
959,650,481,10272.0,1
960,390,353,637.0,1
961,133,353,5488.0,1
962,262,352,10186.0,1
963,261,352,636.0,1
964,389,481,5491.0,1
965,389,352,10181.0,1
966,5,353,517.0,1
967,519,610,5521.0,1
968,519,609,10192.0,1
969,133,96,643.0,1
970,261,353,5484.0,1
971,261,352,10193.0,1
972,519,690,640.0,1
973,5,96,5419.0,1
974,650,610,10281.0,1
975,261,352,642.0,1
976,390,481,5515.0,1
977,134,225,10142.0,1
978,261,352,650.0,1
979,519,610,10224.0,1
980,261,224,656.0,1
981,389,480,5534.0,1
982,390,352,10216.0,1
983,5,96,526.0,1
984,519,610,5546.0,1
985,3,96,10193.0,1
986,390,480,645.0,1
987,519,610,5555.0,1
988,133,224,10178.0,1
989,389,480,651.0,1
990,133,224,5533.0,1
991,261,352,10226.0,1
992,519,609,654.0,1
993,519,610,10231.0,1
994,650,610,730.0,1
995,650,352,5626.0,1
996,5,96,10216.0,1
997,5,96,545.0,1
998,389,352,5555.0,1
999,5,224,10228.0,1
1000,133,352,651.0,1
1001,518,610,5566.0,1
1002,390,610,10237.0,1
1003,133,224,660.0,1
1004,650,610,5666.0,1
1005,133,224,10207.0,1
1006,5,96,555.0,1
1007,389,480,5565.0,1
1008,519,610,10252.0,1
1009,519,690,663.0,1
1010,519,692,5603.0,1
1011,261,352,10260.0,1
1012,261,352,671.0,1
1013,389,481,5574.0,1
1014,519,610,10261.0,1
1015,390,610,663.0,1
1016,5,96,5435.0,1
1017,133,224,10217.0,1
1018,390,352,677.0,1
1019,519,610,5587.0,1
1020,5,96,10251.0,1
1021,133,224,670.0,1
1022,519,691,5612.0,1
1023,519,690,10310.0,1
1024,519,480,692.0,1
1025,261,352,5531.0,1
1026,519,480,10268.0,1
1027,5,96,572.0,1
1028,389,610,5585.0,1
1029,133,224,10228.0,1
1030,390,610,701.0,1
1031,261,224,5541.0,1
1032,133,352,10238.0,1
1033,133,224,682.0,1
1034,261,352,5557.0,1
1035,5,96,10268.0,1
1036,5,96,582.0,1
1037,650,610,5712.0,1
1038,390,96,10273.0,1
1039,519,610,678.0,1
1040,5,96,10288.0,1
1041,133,224,691.0,1
1042,5,96,5467.0,1
1043,133,224,10263.0,1
1044,5,96,595.0,1
1045,132,224,5656.0,1
1046,519,690,10332.0,1
1047,650,611,764.0,1
1048,519,610,10293.0,1
1049,264,481,690.0,1
1050,518,610,5651.0,1
1051,519,610,10325.0,1
1052,390,481,709.0,1
1053,5,96,10302.0,1
1054,133,353,700.0,1
1055,133,224,5559.0,1
1056,519,610,10340.0,1
1057,389,224,715.0,1
1058,5,96,10311.0,1
1059,519,689,689.0,1
1060,261,481,10309.0,1
1061,5,96,605.0,1
1062,261,352,5573.0,1
1063,650,610,10409.0,1
1064,5,224,702.0,1
1065,519,610,5663.0,1
1066,133,224,10281.0,1
1067,261,481,709.0,1
1068,390,481,5641.0,1
1069,5,96,10318.0,1
1070,519,610,699.0,1
1071,5,96,5504.0,1
1072,133,96,10290.0,1
1073,262,352,716.0,1
1074,390,481,10307.0,1
1075,133,355,714.0,1
1076,132,96,10293.0,1
1077,519,480,706.0,1
1078,261,352,5585.0,1
1079,262,224,10326.0,1
1080,5,96,620.0,1
1081,390,480,5650.0,1
1082,390,352,10314.0,1
1083,519,610,714.0,1
1084,133,224,5579.0,1
1085,389,481,10325.0,1
1086,261,352,726.0,1
1087,519,610,10358.0,1
1088,389,481,727.0,1
1089,389,481,5659.0,1
1090,133,224,10322.0,1
1091,5,96,634.0,1
